banque.finance.raw.date,banque.finance.raw.open,banque.finance.raw.high,banque.finance.raw.low,banque.finance.raw.close,banque.finance.raw.volume
20230918,137.800003,138.500000,136.860001,137.179993,806069
20230919,136.759995,136.820007,134.160004,134.539993,908349
20230920,134.380005,136.919998,134.380005,136.199997,936370
20230921,134.679993,135.440002,133.339996,133.679993,1457225
20230922,133.000000,134.380005,132.619995,133.240005,1440069

